"Affiliation","Corrected_Affiliation","Affiliation_Used","Frequency","lat","lon","display_name","country","state","city","country_from_coords"
"University of Mannheim; MZES, University of Mannheim; University of Mannheim, MZES; University of Mannheim; MZES; Collegio Carlo Alberto; University of Mannheim; Mannheim Centre for European Social Research (MZES), University of Mannheim; University of Mannheim; Mannheim Centre for European Social Research (MZES)","NA; University of Mannheim; University of Mannheim; University of Mannheim; University of Mannheim; University of Mannheim; University of Mannheim","University of Mannheim",35,49.4832445,8.4645749,"Universität Mannheim, Bismarckstraße, L2, Innenstadt, Innenstadt/Jungbusch, Mannheim, Baden-Württemberg, 68161, Deutschland",NA,NA,NA,"Germany"
"University of Vienna","NA","University of Vienna",35,48.2020489,16.3856541,"Universität für Musik und darstellende Kunst Wien, 1, Anton-von-Webern-Platz, Botschaftsviertel, KG Landstraße, Landstraße, Wien, 1030, Österreich",NA,NA,NA,"Austria"
"Bocconi University; Bocconi University, Department of Social and Political Sciences; Bocconi; Bocconi University, Department of Computing Sciences","NA; Bocconi University; Bocconi University; Bocconi University","Bocconi University",33,45.4498835,9.1892636,"Università Bocconi, Piazza Angelo Sraffa, Vigentina, Municipio 5, Milano, Lombardia, 20136, Italia",NA,NA,NA,"Italy"
"University of Copenhagen; Department of Political Science, University of Copenhagen; University of Copenhagen; University College London","NA; University of Copenhagen; University of Copenhagen","University of Copenhagen",33,55.6801502,12.572327,"Københavns Universitet, Krystalgade, Nørrevold, Indre By, København, Københavns Kommune, Region Hovedstaden, 1171, Danmark",NA,NA,NA,NA
"University of Oslo; University of Oslo, Departement of Political Science; University of Oslo; Norwegian Institute of Public Health; Department of Political Science, University of Oslo","NA; University of Oslo; University of Oslo; University of Oslo","University of Oslo",33,59.9414173,10.7227683,"Universitetet i Oslo, Trimveien, Gaustad, Nordre Aker, Oslo, 0856, Norge",NA,NA,NA,"Norway"
"University of Amsterdam; University of Amsterdam; Amsterdam Institute for Social Science Research (AISSR); University of Amsterdam; KITLV, Leiden; University of Amsterdam; European University Institute","NA; University of Amsterdam; University of Amsterdam; University of Amsterdam","University of Amsterdam",32,52.3681334,4.8898042,"Universiteit van Amsterdam, Spui, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 XA, Nederland",NA,NA,NA,"Netherlands"
"King's College London; King's College London; University of Copenhagen; King’s College London","NA; King's College London; King's College London","King's College London",31,51.5052366,-0.1115945,"King's College London, Waterloo Campus, Stamford Street, South Bank, Waterloo, London Borough of Lambeth, London, Greater London, England, SE1 9NN, United Kingdom",NA,NA,NA,"United Kingdom"
"University of Konstanz; University of Konstanz, Cluster of Excellence 'The Politics of Inequality'; University of Konstanz; University of Zurich; Konstanz; Cluster of Excellence: The Politics of Inequality, University of Konstanz; Department of History & Sociology, University of Konstanz; University of Konstanz; Goethe University Frankfurt; Universität Konstanz","NA; University of Konstanz; University of Konstanz; University of Konstanz; University of Konstanz; University of Konstanz; University of Konstanz","University of Konstanz",31,47.6899569,9.1882624,"Universität Konstanz, 10, Universitätsstraße, Egg, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Baden-Württemberg, 78464, Deutschland",NA,NA,NA,"Germany"
"Sciences Po; Centre for European Studies and Comparative politics, Sciences Po, Paris, France; Sciences Po Paris; CEE, Sciences Po Paris; Centre for European Studies and Comparative politics, Sciences Po, Paris, France; Cambridge Centre for Environment, Energy and Natural Resource Governance, Department of Land Economy, University of Cambridge, United Kingdom.; Sciences Po; Universitat Pompeu Fabra; médialab, Sciences Po Paris; CNRS, Complex Systems Institute of Paris Île-de-France (ISC-PIF); Learning Transitions, Learning Planet Institute, CY Cergy University; médialab, Sciences Po Paris; Institut Convergences Migrations","NA; Sciences Po; Sciences Po; Sciences Po; Sciences Po; Sciences Po; Sciences Po; Sciences Po","Sciences Po",25,45.7471156,4.8353768,"Institut d'Études Politiques de Lyon, Rue Louis Pasteur, Chinatown, Lyon 7e Arrondissement, Lyon, Métropole de Lyon, Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69007, France",NA,NA,NA,"France"
"University College London; UCL; Department of Political Science, University College London","NA; University College London; University College London","University College London",22,51.524203,-0.1330007,"University College London, Starcross Street, Fitzrovia, London Borough of Camden, London, Greater London, England, NW1 2HR, United Kingdom",NA,NA,NA,"United Kingdom"
"WZB Berlin Social Science Center; WZB - Berlin Social Science Center; WZB; WZB Berlin; WZB Berlin Social Science Center; Freie Universität Berlin; WZB Berlin Social Science Center; University of Hamburg; WZB Berlin Social Science Center; University of Potsdam; Wissenschaftszentrum Berlin für Sozialforschung","NA; WZB Berlin Social Science Center; WZB Berlin Social Science Center; WZB Berlin Social Science Center; WZB Berlin Social Science Center; WZB Berlin Social Science Center; WZB Berlin Social Science Center; WZB Berlin Social Science Center","WZB Berlin Social Science Center",22,52.506426,13.364831,"WZB Berlin Social Science Center",NA,NA,NA,"Germany"
"Copenhagen Business School; Copenhagen Business University","NA; Copenhagen Business School","Copenhagen Business School",21,55.677873,12.5216155,"Copenhagen Business School (CBS), Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",NA,NA,NA,"Denmark"
"Hertie School; Hertie School Berlin; Humboldt University Berlin; Hertie School of Governance; Hertie School, Berlin; Hertie School; Research Training Group DYNAMICS","NA; Hertie School; Hertie School; Hertie School; Hertie School","Hertie School",21,52.5128521,13.3892713,"Hertie School, 180, Friedrichstraße, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",NA,NA,NA,"Germany"
"LMU Munich; Geschwister Scholl Institute of Political Science, LMU Munich; Geschwister-Scholl Institute of Political Science LMU Munich.; Department of Sociology, LMU Munich; LMU Munich, University of Freiburg; LMU Munich, University of Freiburg, MZES Mannheim (external fellow); Ludwig-Maximilians University of Munich; Ludwig-Maximilians-Universität (LMU); Ludwig-Maximilians-Universität München","NA; LMU Munich; LMU Munich; LMU Munich; LMU Munich; LMU Munich; LMU Munich; LMU Munich; LMU Munich","LMU Munich",21,48.1521649,11.581535,"Institut für Statistik der LMU, 33, Ludwigstraße, Universität, Maxvorstadt, München, Bayern, 80539, Deutschland",NA,NA,NA,"Germany"
"Leiden University; Leiden University; Università Statale di Milano; University of Leiden","NA; Leiden University; Leiden University","Leiden University",20,52.1686355,4.4597028,"Universiteit Leiden, Ter Haarplein, Schrijversbuurt, Leiden, Zuid-Holland, Nederland, 2321 AS, Nederland",NA,NA,NA,"Netherlands"
"Princeton University; Princeton","NA; Princeton University","Princeton University",20,40.3386752,-74.6583655,"Princeton University, Springdale Road, Institute Area, Princeton, Mercer County, New Jersey, 08540, United States",NA,NA,NA,"United States of America"
"University of Salzburg; Paris Lodron University of Salzburg; University of Salzburg; Ludwig-Maximilians-Universität","NA; University of Salzburg; University of Salzburg","University of Salzburg",20,47.7947829,13.0541597,"Universität Salzburg - Unipark, 1, Erzabt-Klotz-Straße, Nonntal, Salzburg, 5020, Österreich",NA,NA,NA,"Austria"
"New York University; Center for the Study of Social Media and Politics, NYU","NA; New York University","New York University",19,40.7292053,-73.9950148,"New York University, Sullivan Street, University Village, Manhattan, New York County, City of New York, New York, 10012, United States",NA,NA,NA,NA
"Stanford University; Immigration Policy Lab; Immigration Policy Lab, Stanford University","NA; Stanford University; Stanford University","Stanford University",19,37.4313138,-122.1693654,"Stanford University, 408, Panama Mall, Stanford, Santa Clara County, California, 94305, United States",NA,NA,NA,"United States of America"
"University of Cologne; Cologne Center for Comparative Politics, University of Cologne","NA; University of Cologne","University of Cologne",18,50.9280445,6.9281305,"Universität zu Köln, 1, Händelstraße, Komponistenviertel, Rathenauviertel, Neustadt/Süd, Innenstadt, Köln, Nordrhein-Westfalen, 50674, Deutschland",NA,NA,NA,"Germany"
"University of Bergen; Department of Comparative Politics, University of Bergen, Norway","NA; University of Bergen","University of Bergen",16,60.3809342,5.3313021,"Universitet i Bergen, Vestre Strømkaien, Nygård, Bergenhus, Bergen, Vestland, 5008, Norge",NA,NA,NA,"Norway"
"University of Glasgow; . University of Glasgow; University of Glasgow; University of Cambridge, Centre for Business Research","NA; University of Glasgow; University of Glasgow","University of Glasgow",16,55.8674664,-4.2502454,"Glasgow Caledonian University, North Hanover Street, Townhead, Glasgow, Glasgow City, Alba / Scotland, G4 0PY, United Kingdom",NA,NA,NA,"United Kingdom"
"University of St. Gallen; Universität Sankt Gallen","University of St. Gallen; University of St. Gallen","University of St. Gallen",16,47.4300025,9.3722184,"Universität St.Gallen, 50, Dufourstrasse, St. Jakob, St. Gallen, Wahlkreis St. Gallen, St. Gallen, 9000, Schweiz/Suisse/Svizzera/Svizra",NA,NA,NA,"Switzerland"
"University of Rochester; Department of Political Science, University of Rochester; University of Rochester, Department of Political Science","NA; University of Rochester; University of Rochester","University of Rochester",15,43.129864,-77.628784,"University of Rochester River Campus, Firemans, City of Rochester, Monroe County, New York, 14627, United States",NA,NA,NA,"United States of America"
"University of Southampton; Department of Politics and International Relations (PAIR), University of Southampton; Southampton University","NA; University of Southampton; University of Southampton","University of Southampton",15,50.9617568,-1.4239975,"University of Southampton Science Park, Chilworth, Test Valley, Hampshire, England, United Kingdom",NA,NA,NA,"United Kingdom"
"University of Strathclyde; Strathclyde","NA; University of Strathclyde","University of Strathclyde",15,55.8605911,-4.2409692,"Strathclyde University, 40, George Street, Merchant City, Glasgow, Glasgow City, Alba / Scotland, G1 1QE, United Kingdom",NA,NA,NA,"United Kingdom"
"IE University","NA","IE University",14,40.9529322,-4.1186861,"IE Universidad, Calle Cardenal Zúñiga, El Tío Pintado, San Lorenzo, Segovia, Castilla y León, 40003, España",NA,NA,NA,"Spain"
"Stockholm University; University of Stockholm","NA; Stockholm University","Stockholm University",14,59.366141,18.059593,"Stockholms universitet, Svante Arrhenius väg, Lappkärrsberget, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 17, Sverige",NA,NA,NA,NA
"University of Basel","NA","University of Basel",13,47.5612651,7.5752961,"Faculty of Psychology, University of Basel, 60-62, Missionsstrasse, Am Ring, Grossbasel, Basel, Basel-Stadt, 4055, Schweiz/Suisse/Svizzera/Svizra",NA,NA,NA,"Switzerland"
"University of Birmingham","NA","University of Birmingham",13,52.4515924,-1.9362273,"University, Vincent Drive, Birmingham Research Park, Bournbrook, Metchley, Birmingham, West Midlands, England, B15 2SG, United Kingdom",NA,NA,NA,"United Kingdom"
"University of Salamanca; Universidad de Salamanca; Universidad de Salamanca, Spain; IBEI, Spain; University of Salamanca; Penn State University; Unviersidad de Salamanca","NA; University of Salamanca; University of Salamanca; University of Salamanca; University of Salamanca","University of Salamanca",13,40.4451115,-3.720474,"Universidad Pontificia de Salamanca (Campus de Madrid), Calle Manuel Bartolomé Cossío, Ciudad Universitaria, Moncloa-Aravaca, Madrid, Comunidad de Madrid, 28040, España",NA,NA,NA,"Spain"
"University College Dublin","NA","University College Dublin",12,53.3436671,-6.2544366,"Trinity College Dublin, College Green, Mansion House A Ward 1986, Dublin, County Dublin, Leinster, D02 VR66, Éire / Ireland",NA,NA,NA,"Ireland"
"University of Geneva; Department of Political Science and International Relations, University of Geneva","NA; University of Geneva","University of Geneva",12,46.1985541,6.1509888,"Haute école d'art et de design (HEAD), Boulevard Helvétique, Cité, Genève, 1204, Schweiz/Suisse/Svizzera/Svizra",NA,NA,NA,"Switzerland"
"University of Milan","NA","University of Milan",12,45.4798585,9.2282438,"Politecnico di Milano, Campus Piazza Leonardo, Municipio 3, Milano, Lombardia, Italia",NA,NA,NA,"Italy"
"University of Southern California","NA","University of Southern California",12,34.0218689,-118.2858579,"University of Southern California, Harbor Freeway, Historic South-Central, Los Angeles, Los Angeles County, California, 90089, United States",NA,NA,NA,"United States of America"
"Yale University; Yale","NA; Yale University","Yale University",12,41.2571305,-72.9896696,"Yale University, West Haven, South Central Connecticut Planning Region, 06516, United States",NA,NA,NA,"United States of America"
"New York University Abu Dhabi","NA","New York University Abu Dhabi",11,24.523789,54.4347607,"New York University Abu Dhabi",NA,NA,NA,NA
"University of Manchester","NA","University of Manchester",11,41.0117756,-85.7600095,"Manchester University, 604, East College Avenue, North Manchester, Wabash County, Indiana, 46962, United States",NA,NA,NA,"United States of America"
"Goethe University Frankfurt; Goethe-University Frankfurt; Research Institut Social Cohesion - Goethe University Frankfurt am Main","Goethe-University Frankfurt; NA; Goethe-University Frankfurt","Goethe-University Frankfurt",10,50.1716692,8.6279846,"Didaktik der Biowissenschaften Goethe Universität Frankfurt, 13, Max-von-Laue-Straße, Mertonviertel, Niederursel, Nord-West, Frankfurt am Main, Hessen, 60438, Deutschland",NA,NA,NA,"Germany"
"Department of European Social Research, Saarland University; Interdisciplinary Institute for Societal Computing, Saarland University; Saarland University","Saarland University; NA","Saarland University",10,49.2542853,7.0415071,"Universität des Saarlandes, Campus, Universität, St. Johann, Bezirk Mitte, Saarbrücken, Regionalverband Saarbrücken, Saarland, 66123, Deutschland",NA,NA,NA,"Germany"
"Universitat Pompeu Fabra; Pompeu Fabra; Pompeu Fabra University; Universitat Pompeu Fabra, Spain","NA; Universitat Pompeu Fabra; Universitat Pompeu Fabra; Universitat Pompeu Fabra","Universitat Pompeu Fabra",10,41.3892781,2.1911055,"Campus Ciutadella Universitat Pompeu Fabra, Carrer de Villena, la Vila Olímpica del Poblenou, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalunya, 08003, España",NA,NA,NA,"Spain"
"University of California, Berkeley; UC Berkeley; Bocconi; University of California Berkeley; Berkeley; UC Berkeley","NA; University of California, Berkeley; University of California, Berkeley; University of California, Berkeley; University of California, Berkeley","University of California, Berkeley",10,37.8754996,-122.2390685,"University of California, Berkeley, Shattuck Avenue, LeConte, Berkeley, Alameda County, California, 94701, United States",NA,NA,NA,"United States of America"
"Uppsala University; Department of Government, Uppsala University; Uppsala Universitet","NA; Uppsala University; Uppsala University","Uppsala University",10,59.8576363,17.6294616,"Uppsala universitet, 3, Biskopsgatan, Främre Luthagen, Fjärdingen, Uppsala, Uppsala kommun, Uppsala län, 753 11, Sverige",NA,NA,NA,"Sweden"
"Central European University; Central European University, DPP; Central European University; HUN REN; Democracy Institute, Central European University","NA; Central European University; Central European University; Central European University","Central European University",9,48.1733737,16.3878467,"Central European University, 51, Quellenstraße, Kreta, KG Favoriten, Favoriten, Wien, 1100, Österreich",NA,NA,NA,"Austria"
"Koc University; Koç University","Koç University; NA","Koç University",9,41.203159,29.0728654,"Koç Üniversitesi, Koç Meydanı, Rumelifeneri Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34450, Türkiye",NA,NA,NA,NA
"Maastricht University","NA","Maastricht University",9,50.8472082,5.68595,"Maastricht University, 4-6, Minderbroedersberg, Kommelkwartier, Maastricht-Centrum, Maastricht, Limburg, Nederland, 6211 LK, Nederland",NA,NA,NA,"Netherlands"
"NYU Abu Dhabi","NA","NYU Abu Dhabi",9,40.7320694,-73.9976431,"NYU Abu Dhabi, 19, Washington Square North, Union Square, Greenwich Village, Manhattan, New York County, City of New York, New York, 10012, United States",NA,NA,NA,NA
"University of Antwerp","NA","University of Antwerp",9,51.2143493,4.4044315,"Antwerp Management School, 5, Boogkeers, Theaterbuurt, Antwerpen, Vlaanderen, 2000, België / Belgique / Belgien",NA,NA,NA,"Belgium"
"University of California, San Diego; GPS @ UC San Diego Copenhagen Business School; School of Global Policy and Strategy, University of California San Diego; UC San Diego; University of California San Diego","NA; University of California, San Diego; University of California, San Diego; University of California, San Diego; University of California, San Diego","University of California, San Diego",9,32.8792438,-117.2311247,"University of California, San Diego, 9500, Gilman Drive, San Diego, San Diego County, California, 92093, United States",NA,NA,NA,"United States of America"
"University of Duisburg-Essen; University Duisburg-Essen","NA; University of Duisburg-Essen","University of Duisburg-Essen",9,51.4641041,7.005847,"Universität Duisburg-Essen, Südviertel, Stadtbezirk I, Essen, Nordrhein-Westfalen, 45128, Deutschland",NA,NA,NA,"Germany"
"University of Essex","NA","University of Essex",9,51.8773639,0.9498751,"University of Essex, Whitehall Road, Whitehall Industrial Estate, Old Heath, Colchester, Essex, England, CO2 8HA, United Kingdom",NA,NA,NA,"United Kingdom"
"University of Lucerne; University of Lucerne; University of Zurich","NA; University of Lucerne","University of Lucerne",9,28.0779639,-82.4433277,"Lucerne Drive, Nowatney, University, Hillsborough County, Florida, 33613, United States",NA,NA,NA,"United States of America"
"University of Stuttgart","NA","University of Stuttgart",9,48.7453828,9.1032675,"Universität Stuttgart, Möhringer Straße, Stuttgart-Süd, Karlshöhe, Stuttgart-Süd, Stuttgart, Baden-Württemberg, 70178, Deutschland",NA,NA,NA,"Germany"
"University of Zürich","NA","University of Zürich",9,47.3737735,8.550955,"Universität Zürich (UZH), Zentrum, Doktor-Faust-Gasse, Hochschulen, Altstadt, Zürich, Bezirk Zürich, Zürich, 8092, Schweiz/Suisse/Svizzera/Svizra",NA,NA,NA,"Switzerland"
"Washington University in St. Louis","NA","Washington University in St. Louis",9,38.6471982,-90.3167316,"Chabad at Washington University in St. Louis, University City, Saint Louis County, Missouri, United States",NA,NA,NA,"United States of America"
"Columbia University","NA","Columbia University",8,40.8077558,-73.9616141,"Columbia University, Claremont Avenue, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10027, United States",NA,NA,NA,"United States of America"
"Cornell University; Cornell University; Governance and Local Development Institute; Cornell University; Governance and Local Development Institute; University of Gothenburg","NA; Cornell University; Cornell University","Cornell University",8,42.4529076,-76.4800842,"Cornell University, City of Ithaca, Town of Dryden, Tompkins County, New York, 14850, United States",NA,NA,NA,"United States of America"
"GESIS - Leibniz Institute for the Social Sciences; GESIS Leibniz Institute for the Social Sciences; GESIS / University of Mannheim; GESIS Cologne; ETH Zurich; GESIS – Leibniz Institute for the Social Sciences; GESIS – Leibniz-Institute for the Social Sciences, Mannheim","NA; GESIS - Leibniz Institute for the Social Sciences; GESIS - Leibniz Institute for the Social Sciences; GESIS - Leibniz Institute for the Social Sciences; GESIS - Leibniz Institute for the Social Sciences; GESIS - Leibniz Institute for the Social Sciences","GESIS - Leibniz Institute for the Social Sciences",8,49.48751,8.45986,"GESIS - Leibniz Institute for the Social Sciences",NA,NA,NA,"Germany"
"Georgetown University","NA","Georgetown University",8,38.9089393,-77.0745796,"Georgetown University, 3700, O Street Northwest, Georgetown, Ward 2, Washington, District of Columbia, 20057, United States",NA,NA,NA,"United States of America"
"University of Edinburgh","NA","University of Edinburgh",8,55.9440764,-3.1883736,"University of Edinburgh, Forrest Road, Abbeyhill, Old Town, City of Edinburgh, Alba / Scotland, EH1 2QN, United Kingdom",NA,NA,NA,"United Kingdom"
"University of Fribourg","NA","University of Fribourg",8,46.7966987,7.1506995,"Hes-so - HEdS-FR - HETS-FR - EF TS - FHF-SA und HfG-FR, Route des Arsenaux, Les Charmettes, Pérolles, Fribourg - Freiburg, District de la Sarine, Fribourg/Freiburg, 1700, Schweiz/Suisse/Svizzera/Svizra",NA,NA,NA,"Switzerland"
"University of Michigan","NA","University of Michigan",8,42.3128147,-83.3744151,"University, Biltmore Manor, Westland, Wayne County, Michigan, 48185, United States",NA,NA,NA,"United States of America"
"University of Pittsburgh","NA","University of Pittsburgh",8,40.444153,-79.962461,"University of Pittsburgh, 4200, Fifth Avenue, Chinatown, Downtown, Pittsburgh, Allegheny County, Pennsylvania, 15260, United States",NA,NA,NA,"United States of America"
"University of Virginia","NA","University of Virginia",8,38.0410576,-78.5055084,"University of Virginia, Jefferson Park Avenue, Charlottesville, Virginia, 22908, United States",NA,NA,NA,"United States of America"
"Université libre de Bruxelles; Vrije Universiteit Brussel","NA; Université libre de Bruxelles","Université libre de Bruxelles",8,50.8134718,4.3812357,"Université libre de Bruxelles (Campus du Solbosch), Avenue de l'Université - Hogeschoollaan, Petite Suisse - Klein-Zwitserland, Ixelles - Elsene, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1050, België / Belgique / Belgien",NA,NA,NA,"Belgium"
"Vanderbilt University","NA","Vanderbilt University",8,36.1438011,-86.8028189,"Vanderbilt University, 2201, West End Avenue, Nashville, Davidson County, Middle Tennessee, Tennessee, 37235, United States",NA,NA,NA,"United States of America"
"Aalborg University","NA","Aalborg University",7,57.015907,9.9753082,"Aalborg Universitet, Alfred Nobels Vej, Sønder Tranders, Aalborg, Aalborg Kommune, Region Nordjylland, 9220, Danmark",NA,NA,NA,"Denmark"
"Duke University","NA","Duke University",7,36.0001557,-78.9442297,"Duke University, Exum Street, Burch Avenue, Durham, Durham County, North Carolina, 27708, United States",NA,NA,NA,"United States of America"
"Ghent University","NA","Ghent University",7,51.0078484,3.7108831,"Universiteit Gent Vakgroep Textielkunde, 70A, Technologiepark-Zwijnaarde, Wetenschapspark Ardoyen, Zwijnaarde, Gent, Oost-Vlaanderen, Vlaanderen, 9052, België / Belgique / Belgien",NA,NA,NA,"Belgium"
"Harvard University","NA","Harvard University",7,42.3657432,-71.1222139,"Harvard University, Massachusetts Avenue, Old Cambridge, Cambridge, Middlesex County, Massachusetts, 02318, United States",NA,NA,NA,"United States of America"
"Tel Aviv University","NA","Tel Aviv University",7,32.1123822,34.805018,"אוניברסיטת תל אביב, ד""ר ג'ורג וייז, אוניברסיטת ת""א, תל־אביב–יפו, נפת תל אביב, מחוז תל אביב, 6997801, ישראל",NA,NA,NA,"Israel"
"UCLA; University of California, Los Angeles","University of California, Los Angeles; NA","University of California, Los Angeles",7,34.0708777,-118.4468503,"University of California, Los Angeles, Ambazac Way, Bel Air, Westwood, Los Angeles, Los Angeles County, California, 90095, United States",NA,NA,NA,"United States of America"
